,,,
,,,
A-B,,Match,Type
Video_games_sales12157,Windowgames_3023,1,0
Video_games_sales12157,Windowgames_3016,0,2
Video_games_sales12183,Windowgames_2120,1,0
Video_games_sales12257,Windowgames_2748,1,0
Video_games_sales12257,Windowgames_2744,0,2
Video_games_sales12360,Windowgames_64,1,0
Video_games_sales12360,Windowgames_65,0,2
Video_games_sales12466,Windowgames_2616,1,0
Video_games_sales12518,Windowgames_1907,1,0
Video_games_sales12632,Windowgames_26,1,0
Video_games_sales12681,Windowgames_3803,0,2
Video_games_sales12681,Windowgames_3804,0,2
Video_games_sales12706,Windowgames_2612,1,0
Video_games_sales12829,Windowgames_3024,1,0
Video_games_sales12829,Windowgames_3015,0,2
Video_games_sales12829,Windowgames_3016,0,2
Video_games_sales12835,Windowgames_418,1,0
Video_games_sales12849,Windowgames_2735,1,0
Video_games_sales12887,Windowgames_2846,1,0
Video_games_sales12911,Windowgames_3398,1,0
Video_games_sales12911,Windowgames_3399,0,2
Video_games_sales12917,Windowgames_2150,1,0
Video_games_sales12945,Windowgames_1041,1,0
Video_games_sales12945,Windowgames_1038,0,2
Video_games_sales12945,Windowgames_1039,0,2
Video_games_sales12945,Windowgames_1040,0,2
Video_games_sales13037,Windowgames_2073,1,0
Video_games_sales13037,Windowgames_2074,0,2
Video_games_sales13037,Windowgames_2075,0,2
Video_games_sales13106,Windowgames_2185,1,0
Video_games_sales13118,Windowgames_3585,1,0
Video_games_sales13553,Windowgames_2971,0,1
Video_games_sales12651,Windowgames_2306,0,1
Video_games_sales13284,Windowgames_2861,0,1
Video_games_sales12879,Windowgames_2646,0,1
Video_games_sales12121,Windowgames_2533,0,1
Video_games_sales10785,Windowgames_2593,0,1
Video_games_sales12080,Windowgames_2944,0,1
Video_games_sales11488,Windowgames_2464,0,1
Video_games_sales11946,Windowgames_2415,0,1
Video_games_sales13076,Windowgames_2983,0,1
Video_games_sales10878,Windowgames_3014,0,1
Video_games_sales11682,Windowgames_2539,0,1
C-D,,,
Video_games_sales13238,PS4_id_4124,1,0
Video_games_sales13309,PS4_id_7705,1,0
Video_games_sales13465,PS4_id_5188,1,0
Video_games_sales13465,PS4_id_5187,0,2
Video_games_sales13465,PS4_id_5188,0,2
Video_games_sales12347,PS4_id_6370,0,1
Video_games_sales11233,PS4_id_7470,0,1
Video_games_sales10534,PS4_id_7236,0,1
Video_games_sales12852,PS4_id_6648,0,1
Video_games_sales11538,PS4_id_6691,0,1
Video_games_sales12139,PS4_id_7217,0,1
Video_games_sales13114,PS4_id_7103,0,1
Video_games_sales13836,PS4_id_6106,0,1
Video_games_sales11641,PS4_id_6149,0,1
Video_games_sales13765,PS4_id_6564,0,1
Video_games_sales13400,PS4_id_6389,0,1
Video_games_sales11489,PS4_id_7348,0,1
