Platform name from Dataset_B;Platform name from Dataset_D;Platform name from Dataset_A;Platform name from Dataset_C;Platform name from Dataset_E;checked using a sample;imoputed for Dataset_C
;;;;Windows Phone;;
;;;;Bada;;
;;;;V Cast;;
;;;;NetBSD;;
;;;;Nintendo Switch Lite;;
;;;;Oric-1;;
;;;;Nintendo DS Lite;;
;;;;FM-7;;
;;;;Toshiba Pasopia 7;;
;;;;Unix-like operating system;;
;;;;Namco System 256;;
;;;;Oric Atmos;;
;;;;Acorn Atom;;
;;;;Mac OS X 10.0;;
;;;;Apple IIe;;
;;;;Android;;
;;;;CP System III;;
;;;;Zune HD;;
;;;;handheld TV game;;
;;;;;;
;;;;;;
;;;;;;
;;;;Sega Pico;;
;;;;Triforce;;
;;;;Thomson TO7;;
;;;;Mac OS 8;;
;;;;Epson QX-10;;
;;;;KC 85;;
;;;;arcade system board;;
;;;;Video Genie;;
;;;;PIECE;;
;;;;Chihiro;;
;;;;Xbox One X;;
;;;;Neo Geo Pocket Color;;
;;;;Motorola 6809;;
;;;;Q48759582;;
;;;;http://www.wikidata.org/.well-known/genid/64fb2237c615ea23104cc23fac3164fa;;
;;;;Windows NT;;
;;;;Chromebook;;
;;;;Playdia;;
;;;;Tk;;
;;;;Sega Master System;;
;;;;IBM PC;;
;;;;Apple II Plus;;
;;;;Symbian;;
;;;;NEC PC-8001;;
;;;;System 6;;
;;;;Android emulator;;
;;;;Windows 3.x;;
;;;;parsec;;
;;;;Macintosh operating systems;;
;;;;;;
;;;;WarpOS;;
;;;;http://www.wikidata.org/.well-known/genid/9608d28604cec826b210c5935054e075;;
;;;;iPod;;
;;;;;;
;;;;list of DSiWare games and applications;;
;;;;;;
;;;;;;
;;;;Sega System C-2;;
;;;;Pocket Dream Console;;
;;;;Series 30+;;
;;;;HP 2100;;
;;;;Namco System 12;;
;;;;R3000;;
;;;;PlayStation Home;;
;;;;NeWS;;
;;;;;;
;;;;FM Towns;;
;;;;Electronic Delay Storage Automatic Calculator;;
;;;;Macintosh 512K;;
;;;;Psycho Soldier;;
;;;;IA-32;;
;;;;Oric;;
;;;;General Comprehensive Operating System;;
;;;;Telmac 1800;;
;;;;Main Event;;
;;;;Playdate;;
;;;;Atari ST;;
;;;;Mixi;;
;;;;PC-6600 series;;
;;;;iQue Player;;
;;;;smartphone;;
;;;;HTML5;;
;;;;Namco System ES3;;
;;;;TurboDuo;;
;;;;;;
;;;;Google Maps;;
;;;;Atari Jaguar CD;;
;;;;Sharp MZ-2000;;
;;;;Kindle Fire HD;;
;;;;;;
;;;;Oric Telestrat;;
;;;;MSX;;
;;;;Atari 8-bit family;;
;;;;;;
;;;;Flash Video;;
;;;;Nintendo 2DS;;
;;;;MSX 2+;;
;;;;Zilog Z80;;
;;;;Tomy Tutor;;
;;;;PICO-8;;
;;;;MSX 2;;
;;;;Windows 10 Mobile;;
;;;;Mitchell;;
;;;;Osborne 1;;
;;;;Family Computer;;
;;;;;;
;;;;Advanced Pico Beena;;
;;;;Mii;;
;;;;Kindle Fire;;
;;;;Sharp X68000;;
;;;;PDP-7;;
;;;;;;
;;;;BlackBerry PlayBook;;
;;;;Dragon 32;;
;;;;Amazon Fire TV;;
;;;;Raspberry Pi;;
;;;;;;
;;;;Motorola 68000;;
;;;;;;
;;;;OLPC XO-1;;
;;;;Acorn Archimedes;;
;;;;GREE;;
;;;;Xbox network;;
;;;;web browser;;
;;;;System SSV;;
;;;;;;
;;;;Atari 800;;
;;;;Donner Model 30;;
;;;;IBM PC DOS 3.x;;
;;;;Silicon Graphics;;
;;;;CP System II;;
;;;;Neo Geo Pocket;;
;;;;Binary Runtime Environment for Wireless;;
;;;;Mac (computer);;
;;;;Atari 7800;;
;;;;iPadOS;;
;;;;Classic Mac OS;;
;;;;Atari 400;;
;;;;Google Chrome;;
;;;;Namco System 246;;
;;;;browser game;;
;;;;BBC Micro;;
;;;;web platform;;
;;;;Gizmondo;;
;;;;Commodore International;;
;;;;Mattel Aquarius;;
;;;;Thomson TO8;;
;;;;Shield Portable;;
;;;;;;
;;;;Action Max;;
;;;;RiscPC;;
;;;;Java platform;;
;;;;;;
;;;;Sega Mega-Tech;;
;;;;IBM PC compatible;;
;;;;OpenVMS;;
;;;;SG-1000;;
;;;;;;
;;;;ZX Spectrum;;
;;;;;;
;;;;Amstrad CPC;;
;;;;Neo Geo AES;;
;;;;;;
;;;;Multics;;
;;;;GCW Zero;;
;;;;Marvin's Maze;;
;;;;Coleco Adam;;
;;;;Super A'Can;;
;;;;Windows Server 2012;;
;;;;Amiga 1200;;
;;;;VAX;;
;;;;Sega System 18;;
;;;;R4600;;
;;;;QNX;;
;;;;DESQview;;
;;;;PC Engine SuperGrafx;;
;;;;Discord server;;
;;;;TRS-80 Color Computer;;
;;;;OnLive;;
;;;;SkillGround;;
;;;;Minecraft Forge;;
;;;;video game arcade cabinet;;
;;;;Atari TT030;;
;;;;Atari Falcon;;
;;;;BeOS;;
;;;;mobile telephony;;
;;;;BlackBerry;;
;;;;MorphOS;;
;;;;Super NES Classic Edition;;
;;;;;;
;;;;Atari 5200;;
;;;;DVD;;
;;;;Video Challenger;;
;;;;Commodore MAX Machine;;
;;;;Glulx;;
;;;;;;
;;;;XCloudGame;;
;;;;PV-1000;;
;;;;VK;;
;;;;Intel 8086;;
;;;;Java Virtual Machine;;
;;;;handheld electronic game;;
;;;;NeXTNeXT;;
;;;;Commodore Amiga;;
;;;;FM Towns Marty;;
;;;;Power Macintosh;;
;;;;x86;;
;;;;tvOS;;
;;;;interactive film;;
;;;;IRIX;;
;;;;BlackBerry 10;;
;;;;Apple IIc;;
;;;;PC-1512;;
;;;;;;
;;;;mainframe computer;;
;;;;Commodore 64 Games System;;
;;;;PC-8000 series;;
;;;;Microvision;;
;;;;HP 3000;;
;;;;NEC PC-8800 series;;
;;;;ZN-2;;
;;;;Atomiswave;;
;;;;Apple II series;;
;;;;Philips Videopac+ G7400;;
;;;;Commodore 16;;
;;;;Atari Jaguar;;
;;;;Watara Supervision;;
;;;;IBM Personal Computer XT;;
;;;;Bukkit;;
;;;;http://www.wikidata.org/.well-known/genid/9bef9f7cda9f5b72927e99b0227a1977;;
;;;;EPOC;;
;;;;Mega Drive Mini;;
;;;;SGI Onyx;;
;;;;Thomson TO;;
;;;;Sega NAOMI;;
;;;;;;
;;;;Atari Flagstaff;;
;;;;Thomson MO;;
;;;;hange;;
;;;;Virtuality;;
;;;;Model 1;;
;;;;Kinect;;
;;;;Namco System 22;;
;;;;R-Zone;;
;;;;Sega System 32;;
;;;;Atari;;
;;;;NES Classic Edition;;
;;;;Vectrex;;
;;;;ColecoVision;;
;;;;SAM Coupé;;
;;;;Commodore 64;;
;;;;DOS;;
;;;;Namco Galaga;;
;;;;Motorola 68010;;
;;;;Netflix;;
;;;;mobile game;;
;;;;Wang 2200;;
;;;;;;
;;;;Enterprise;;
;;;;Amiga CD32;;
;;;;CP System;;
;;;;Palm OS;;
;;;;Fire OS;;
;;;;Sega SC-3000;;
;;;;Amiga 4000;;
;;;;KaiOS;;
;;;;WiiWare;;
;;;;Series 40;;
;;;;Namco System 10;;
;;;;Commodore VIC-20;;
;;;;Philips CD-i;;
;;;;Q4011418;;
;;;;Commodore 128;;
;;;;IBM Personal Computer/AT;;
;;;;http://www.wikidata.org/.well-known/genid/5d358addb1cf71c7458b22a5cee47ea0;;
;;;;PC-98;;
;;;;arcade video game machine;;
;;;;;;
;;;;PlayStation TV;;
;;;;Virtual Boy;;
;;;;;;
;;;;Arcadia 2001;;
;;;;computer;;
;;;;ChromeOS;;
;;;;TurboGrafx-CD;;
;;;;BASIC;;
;;;;Java Platform, Micro Edition;;
;;;;Game Boy Advance;;
;;;;Q17232580;;
;;;;Acorn Electron;;
;;;;Mobage;;
;;;;Nintendo Super System;;
;;;;tablet computer;;
;;;;Windows Phone 8;;
;;;;Adobe Flash;;
;;;;DECO Cassette System;;
;;;;slot machine;;
;;;;Nokia;;
;;;;;;
;;;;SNK 68K Based Hardware;;
;;;;PC-6000 series;;
;;;;Virtual Console;;
;;;;Windows RT;;
;;;;Pachi-Slo;;
;;;;;;
;;;;video game console;;
;;;;Kindle Fire HDX;;
;;;;Windows Mobile 2003;;
;;;;Yahoo!;;
;;;;Amiga 500;;
;;;;Windows Phone 8.1;;
;;;;Amstrad PCW;;
;;;;Dragon 32/64;;
;;;;Sharp MZ;;
;;;;World Wide Web;;
;;;;NEC PC-9800 series;;
;;;;MOTO Gamme;;
;;;;Super Cassette Vision;;
;;;;Browser;;
;;;;System 7;;
;;;;BlueSky Software;;
;;;;Windows Mobile;;
;;;;MS-DOS 6.22;;
;;;;TMS34010;;
;;;;Didaktik;;
;;;;Sinclair QL;;
;;;;Sharp X1;;
;;;;Thomson MO5;;
;;;;ZN-1;;
;;;;Sega 32X;;
;;;;Nelsonic Game Watch;;
;;;;Bally Astrocade;;
;;;;IBM 7090;;
;;;;TIA-MC-1;;
;;;;online game;;
;;;;handheld game console;;
;;;;Olivetti Prodest PC 128;;
;;;;pachinko slot machine;;
;;;;Zeebo;;
;;;;PMD 85;;
;;;;PLATO;;
;;;;Nintendo VS. System;;
;;;;Commodore PET;;
;;;;Windows 3.1;;
;;;;Odyssey;;
;;;;Smaky;;
;;;;Hitachi 6309;;
;;;;Thomson TO9;;
;;;;Facebook Platform;;
;;;;Apple Pippin;;
;;;;HAL 21;;
;;;;BlackBerry OS;;
;;;;Steam Deck;;
;;;;AmigaOS;;
;;;;smart speaker;;
;;;;MSX TurboR;;
;;;;Atari System;;
;;;;Tatung Einstein;;
;;;;Apple TV;;
;;;;Neo-Geo MVS;;
;;;;Matra Alice;;
;;;;Intellivision;;
;;;;Xerox Alto;;
;;;;Game Boy Color;;
;;;;Sharp Zaurus;;
;;;;;;
;;;;64DD;;
;;;;BlackBerry Z10;;
;;;;Odra 1003;;
;;;;IBM Personal Computer;;
;;;;Apricot PC;;
;;;;WonderSwan Color;;
;;;;cross-platform;;
;;;;Magnavox Odyssey²;;
;;;;PC booter;;
;;;;Sega Titan Video;;
;;;;Mac OS 9;;
;;;;i-mode;;
;;;;Family Computer Disk System;;
;;;;Taito Type X;;
;;;;Sharp MZ-2500;;
;;;;Namco System 11;;
;;;;Solaris;;
;;;;OS/2;;
;;;;NEC PC-9801 series;;
;;;;pachinko;;
;;;;web browser engine;;
;;;;personal computer;;
;;;;Tomahawk F1;;
;;;;PlayStation Mobile;;
;;;;web page;;
;;;;Atari TOS;;
;;;;;;
;;;;Sega X Board;;
;;;;PDP-1;;
;;;;iPod Touch;;
;;;;Commodore 16 and Plus/4;;
;;;;ALLS HX2;;
;;;;OpenBSD;;
;;;;MOS Technology 6502;;
;;;;Super Game Boy;;
;;;;GP2X;;
;;;;DoJa;;
;;;;Exelvision EXL 100;;
;;;;Nintendo e-Reader;;
;;;;PC game;;
;;;;Ouya;;
;;;;;;
;;;;Satellaview;;
;;;;online;;
;;;;TRS-80 Color Computer 3;;
;;;;Nvidia Shield TV;;
;;;;Raiden II;;
;;;;WonderSwan;;
;;;;Apple IIGS;;
;;;;Berkeley Software Distribution;;
;;;;Tcl;;
;;;;NMS Software;;
;;;;;;
;;;;Nintendo DSi;;
;;;;DECSYSTEM-20;;
;;;;Facebook;;
;;;;Cassette Vision;;
;;;;macOS;;
;;;;DigiBLAST;;
;;;;x86_64;;
;;;;Google+;;
;;;;MeeGo;;
;;;;Amstrad CPC 6128;;
;;;;Game Boy family;;
;;;;online and offline;;
;;;;PowerPC 600;;
;;;;webOS;;
;;;;Neo Geo CD;;
;;;;Internet;;
;;;;Z-machine;;
;;;;Amstrad GX4000;;
;;;;View-Master Interactive Vision;;
;;;;iOS;;
;;;;TRS-80;;
;;;;;;
;;;;Sinclair ZX81;;
;;;;Q2892893;;
;;;;MS-DOS;;
;;;;Pocket PC;;
;;;;NTT DoCoMo;;
;;;;Rock-ola;;
;;;;;;
;;;;Atari Lynx;;
;;;;;;
;;;;FreeBSD;;
;;;;PDP-10;;
;;;;Linux;;
;;;;watchOS;;
;;;;IBM PC DOS 2.x;;
;;;;Unix;;
;;;;;;
;;;;mobile device;;
;;;;;;
;;;;Entex Adventure Vision;;
;;;;Shield Tablet;;
;;;;Leapster;;
;;;;Internet Explorer;;
;;;;GNOME Web;;
;;;;Windows Server 2003 R2;;
;;;;CP/M;;
;;;;Atari VCS;;
;;;;;;
;;;;Commodore Plus/4;;
;;;;Apple II;;
;;;;Roblox;;
;;;;Kaypro;;
;;;;Debian;;
;;;;Thomson MO6;;
;;;;Pandora;;
;;;;Dynavision;;
;;;;Superminicomputer;;
;;;;Windows Server 2008 R2;;
;;;;S60;;
;;;;Seta 1st Generation;;
;;;;Texas Instruments TI-99/4A;;
;;;;arcade;;
;;;;Freedom of Mobile Multimedia Access;;
;;;;Java;;
;;;;CDTV;;
;;;;Intel 8080;;
;;;;MS-DOS version 5.x;;
