id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;0
all_games16923;Spikeout: Battle Street; PC;;March 29, 2005;;;54.0;6.6;;Get ready to engage in hand-to-hand melee combat against an army of enemies. Spikeout Battle Street puts you in the middle a gang war between Team Spike and Team Inferno. As one of 12 characters, you must use your arsenal of attack moves to defeat your enemies. The Xbox Live feature lets you experience cooperative gameplay with three friends while talking trash through Xbox Communicators. Bonus online features include downloadable items, stories, characters, sound files, and more.;;;PS4_id_6329;Gothic Murder: Adventure That Changes Destiny;PS4;orange;2020-09-24;;Visual Novel;;;orange;;;;FALSE
all_games15940;NBA ShootOut 2004; PlayStation 2;;October 29, 2003;;;58.0;7.8;;Features enhanced Career Mode enabling gamers to create a player and earn a spot on an NBA team, NBA ShootOut 2004 now also enables users to take their skills online, leveraging the new USB Headset to rally teammates and compete against anyone around the country, or use the offline voice recognition capabilities to execute specific plays.;;;PS4_id_929;Road to Guangdong;PS4;Excalibur Games;2020-08-28;;Adventure,Point & Click;;;Just Add Oil Games;;;;FALSE
all_games17372;Disney*Pixar WALL-E; Wii;;June 24, 2008;;;51.0;5.0;;What if mankind had to leave Earth, and somebody forgot to turn the last robot off? After hundreds of lonely years of doing what he was built for, WALL-E (short for Waste Allocation Load Lifter Earth-Class) discovers a new purpose in life (besides collecting knick-knacks) when he meets a sleek search robot named EVE. EVE comes to realize that WALL-E has inadvertently stumbled upon the key to the planet’s future, and races back to space to report her findings to the humans (who have been eagerly awaiting word that it is safe to return home). Meanwhile, WALL-E chases EVE across the galaxy and sets into motion one of the most exciting and imaginative comedy adventures ever brought to the big screen. Joining WALL-E on his fantastic journey across a universe of never-before-imagined visions of the future, is a hilarious cast of characters including a pet cockroach, and a heroic team of malfunctioning misfit robots. Players of the game take control of WALL-E and EVE through a fast-paced adventure based on the Disney/Pixar film. The game allows fans to relive some of the movie’s most thrilling moments as they explore 10 worlds filled with non-stop action and adventure, along with head-to-head multiplayer challenges. Players will recognize the storyline, characters and key locations from the WALL-E film as they carry out intense missions, dodge dangerous enemies and navigate their way through a futuristic world. In addition, the game contains new storylines and environments that movie-goers will not see in theaters. [THQ];;;PS4_id_8411;Blacksmith of the Sand Kingdom;PS4;KEMCO;2021-11-12;;Role Playing,Turn Based;;;Rideon;;;;FALSE
all_games16625;Ford Mustang: The Legend Lives; PlayStation 4;;April 20, 2005;;;55.0;7.4;;"Since April of 1964 the Ford Mustang has sold over 8 million vehicles and has generated a strong following of enthusiasts, aftermarket manufacturers, websites, and publications - all dedicated to this iconic vehicle. ""Ford Mustang"" provides incredible graphics and ""pick up and play"" gameplay - at a value price. Drive the hottest cars from the 40 year history of the Mustang on 22 tracks in 7 U.S. cities. Features 40 incredibly rendered production, concept and racing models from 1964 to 2005. Choose from a diverse set of 22 accurately modeled, lifelike racing environments in 7 cities from across the USA. Arcade-style racing physics and realistic AI, from opponents as well as from obstacle traffic. Compete in ""coin-op"" style Challenges or Career Mode to unlock new cars, tracks and game modes while testing your skills to the limit. Split screen Multiplayer support for Head-to-Head racing.";;;PS4_id_3217;Abyss Odyssey: Extended Dream Edition;PS4;Atlus;2015-07-28;;Platformer;;;ACE Team;;;;FALSE
all_games15642;Bionicle Heroes; PC;;November 14, 2006;;;59.0;8.3;;Bionicle Heroes brings to life the most powerful and exciting LEGO characters ever seen in one game, in an action-packed world of adventure and discovery. Take control of a young hero as he steps out of the real world and into the strange and dangerous universe of Bionicle. Only by mastering the powers and special abilities of the greatest Bionicle heroes will he be able to overcome the many challenges ahead. [Eidos Interactive];;;PS4_id_7434;Zero Escape: The Nonary Games;PS4;Aksys Games;2017-03-24;;Adventure,Collection,Visual Novel;;;Spike Chunsoft;;;;FALSE
all_games17878;MLB Front Office Manager; DS;;January 26, 2009;;;47.0;4.6;;MLB Front Office Manager lets gamers do everything a real-life baseball GM can do to develop a team from Spring Training through a full MLB season, into the playoffs and the World Series. Using Major League teams and players, gamers create their own fictional baseball universe and build their reputation into elite status. Gamers can replace aging veterans with rookies, scout the Minor Leagues, make blockbuster trades, and even participate in bidding wars for posted players from Japan as they make their way to the Hall of Fame. A true baseball general manager also acts as a mentor in MLB Front Office Manager. Legendary Oakland Athletics' GM Billy Beane offers advice, encouragement and guidance as gamers steer a team through the intense competition that is Major League Baseball. Billy Beane is considered one of the most talented GM’s in baseball today and has turned the Athletics into a consistent postseason contender since being named GM in 1997. Now, in MLB Front Office Manager, he passes that knowledge on to gamers. MLB Front Office Manager offers two distinct game modes. Become the GM in Career Mode, and manage a team through a 30 year career that hopefully leads to the Hall of Fame. As the gamer’s knowledge and skill progresses over time, gamers gain points to improve various areas and help the team win games as a result. With Online Fantasy Mode, create an online head-to-head management experience. With up to 30 Managers in the league, gamers can compete against friends to see who has what it takes to be the best. [2K Sports];;;PS4_id_1840;Top Run;PS4;Katata Games,Fantastico Studio;2020-02-11;;Platformer;;;Katata Games;;;;FALSE
all_games18188;Ridge Racer; PC;;March 13, 2012;;;44.0;3.9;;Ridge Racer makes its debut on the PlayStation Vita with this installment of the racing series.;;;PS4_id_84;Warlock's Tower;PS4;Ratalaika Games;2019-05-28;;Puzzle;;;Midipixel;;;;FALSE
all_games17480;Devil May Cry 2; PC;;September 19, 2019;;;50.0;7.9;;Dante, the world's most stylish demon slayer is back to shake the legions of the underworld to their knees in Devil May Cry 2. This time, Dante has a new devilish partner: Lucia, a mysterious and acrobatic heroine. Don't let Dante's handsome face lull you, as he has some moves of his own, including running and jumping on walls, aerial kicking, and the ability to simultaneously shoot in two directions. Unleash your inner demon as you battle hoards of monsters in massive, hellish environments.;;;PS4_id_7053;Knights of Light;PS4;;;;;;;;;;;FALSE
all_games15625;Spectral Force 3; Xbox 360;;July 29, 2008;;;59.0;7.4;;Magic Era: 996. The ten kingdoms of the land, seizing the opportunity provided by Overlord Janus's death, are attempting to unify the continent under their own banners. This is the beginning of the Great Neverland War. In order to bolster their defenses, kingdoms have begun hiring mercenary units. As new members of the Norius Mercenaries, you and your friend Diaz are eager to prove yourselves. When the squad's commander Judo is mortally wounded in battle, the mantle of leadership is entrusted to you, and so the adventure begins. The long-running strategy RPG series enters the next generation of gaming. Over 50 hours of gameplay spanning more than 150 challenging missions. Up to 40 different characters to recruit into your party, each with their own unique individual attacks. Craft Your Items – collect and assemble different components to form new accessories. [Atlus USA];;;PS4_id_2279;I, Zombie;PS4;Awesome Games Studio;2016-11-24;;Strategy;;;Awesome Games Studio;;;;FALSE
all_games7700;Dragon Star Varnir; PlayStation 4;;June 11, 2019;;;75.0;7.1;;Fight enemies midair in a unique, vertically-oriented battle system. Strategically position your party at different tiers to attack and disable the enemy’s skills, one level at a time. Perform enough attacks to unleash the dragon within, transforming each character to unlock devastating skills and newfound strength during battle. Weaken an enemy dragon to devour its element! When the element is pierced into a character, they can absorb that dragon’s skill tree. But at what cost…?;;;PS4_id_5580;Dragon Star Varnir;PS4;Idea Factory;2019-06-11;;Role Playing,Turn Based;;;Compile Heart;;;;TRUE
all_games7755;Crossing Souls; PlayStation 4;;February 13, 2018;;;75.0;6.9;;It’s 1986 in California. A group of friends discover a mysterious pink stone that allows to travel between two realms. This gang will live the summer of their lives in an adventure that will get them involved in a government conspiracy. Control five kids with specials skills while fighting and solving puzzles.;;;PS4_id_7959;Crossing Souls;PS4;Devolver Digital,Special Reserve Games;2018-02-13;;Action-Adventure;;;Fourattic;;;;TRUE
all_games7825;Attack on Titan 2; PlayStation 4;;March 20, 2018;;;75.0;7.5;;Based on the anime series and building on the fast-paced action the series is famous for, ATTACK ON TITAN 2 is the sequel to 2016's action game and features new gameplay mechanics. Players once again don the renowned Omni-Directional Manoeuver Gear as they fight and repel the fearsome Titans that threaten humanity, to restore peace within the walls.;;;PS4_id_3921;Attack on Titan 2;PS4;KOEI TECMO;2018-03-20;;Hack & Slash;;;Omega Force;;;;TRUE
all_games7872;Carto; PlayStation 4;;October 27, 2020;;;75.0;6.3;;Carto is a chill adventure game wrapped around a unique, world-shifting puzzle mechanic. Use this power to explore mysterious lands, help a quirky cast of new friends, and guide Carto on her journey home.;;;PS4_id_7583;Carto;PS4;Humble Games;2020-10-27;;Adventure;;;Sunhead Games;;;;TRUE
all_games8619;Cat Quest; PlayStation 4;;November 14, 2017;;;74.0;7.5;;Cat Quest is an open world RPG set in the pawsome world of cats! In search of your catnapped sister you pounce into the massive continent of Felingard -- a world crafted in the style of overworld maps of yore and purrrring with cat-tastic characters, stories, and puns! Leap into a grand adventure in purrsuit of the evil Drakoth and your catnapped sister! Explore Felingard's huge overworld map, risk life and limb delving into dungeons for epic loot, and lend a paw to a furry cast of characters in a flurry of side quests.;;;PS4_id_7621;Cat Quest;PS4;PQube;2017-11-14;;Open World,Action-RPG,Role Playing;;;The Gentlebros;;;;TRUE
all_games8680;Battlefield Hardline; PlayStation 4;;March 17, 2015;;;73.0;5.2;;Run your crew as detective Nick Mendoza in an episodic crime drama single player campaign or as cops and criminals in rapid Battlefield multi-player. You will be on one side of the thin blue line or the other. Assume control using new tactics to gather intelligence, obtain warrants and takedown with non-lethal force to effectuate the arrests. Take the cash in a new battlefield playground. New maps and gadgets alter the way you play the game. Utilize grappling hooks and zip-lines to scale city buildings and fly across the city with the cheddar. No matter the strategy, teamwork is key to winning the turf war. Sate your need for speed in new action-packed modes. Hop in exotic muscle cars, sleek crotch rockets or even give your whole crew a lift in transports or armored trucks.;;;PS4_id_8264;Battlefield Hardline;PS4;Electronic Arts;2015-03-17;;First Person Shooter,Stealth;;;Visceral Games;;;;TRUE
all_games8802;Lumo; PlayStation 4;;May 24, 2016;;;73.0;5.8;;As a contemporary take on the long-lost isometric platform genre, Lumo can be enjoyed by anyone looking for an absorbing, challenging and rewarding adventure. But for those who lived through the golden age of videogames – the 80s and early 90s – or know about the games and culture from that time, layer upon layer of nods, winks and touches to those times help build upon the experience. [Playstation.com];;;PS4_id_7413;Lumo;PS4;Rising Star Games;2016-05-24;;Platformer;;;Triple Eh?;;;;TRUE
all_games8877;Never Alone; PlayStation 4;;November 18, 2014;;;73.0;6.6;;Developed in partnership with the Alaska Native community, Never Alone (Kisima Ingitchuna) is an atmospheric puzzle platformer that explores the harsh and dynamic world of Alaska Native stories. Delve deeply into the traditional lore of the Inupiat people of the Arctic.;;;PS4_id_8822;Never Alone (Kisima Ingitchuna);PS4;E-Line Media;2014-11-18;;Platformer;;;Upper One Games;;;;TRUE
all_games9523;GreedFall; PlayStation 4;;September 10, 2019;;;72.0;7.7;;Explore uncharted new lands as you set foot on a remote island seeping with magic, and filled with riches, lost secrets, and fantastic creatures. Forge this new world's destiny, as you befriend or betray companions and entire factions. With diplomacy, deception and force, become part of a living, evolving world - influence its course and shape your story. * Engage in a core roleplaying experience achieve quests and complete objectives in a multitude of different ways through combat, diplomacy, deception, or stealth. * Complete freedom in character progression play as a male or female, customize your appearance, and freely choose your abilities, spells and skills. * Delve into a mysterious world of magic begin a grand journey and uncover ancient secrets protected by supernatural beings, manifestations of the island's earthly magic.;;;PS4_id_6374;GreedFall (PS4);PS4;Focus Entertainment,Game Source Entertainment;2019-09-10;;Open World,Action-RPG,Role Playing;;;Spiders;;;;TRUE
all_games9638;Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles; PlayStation 4;;October 15, 2021;;;72.0;0.0;;Players can relive the story of Tanjiro Kamado as depicted in the TV anime Demon Slayer: Kimetsu no Yaiba. Its episodes start from the “Kamado Tanjirou Risshi Arc” of the TV anime, in which Tanjiro joins the Demon Slayer Corps and faces off against various demons, and end at the “Mugen Train Arc” of the feature film, in which Tanjiro joins the Flame Hashira Kyojuro Rengoku on a mission. Enjoy the battles against the demons from the anime with beautiful graphics and expression. Versus Mode Form a tag team of two characters from the characters who fought in intense battles in the TV anime Demon Slayer: Kimetsu no Yaiba, including Tanjiro Kamado and Nezuko Kamado, as well as from six characters who appeared in the official anime spin-off Chuukou Ikkan!! Kimetsu Gakuen Monogatari, for a total of 18 characters. Enjoy battles with your ideal tag team, be it a combination of characters who fought alongside each other in the anime, or a dream team that did not. Two-player online play is also supported.;;;PS4_id_5299;Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles (PS4);PS4;SEGA,Aniplex;2021-10-15;;Fighting;;;CyberConnect2;;;;TRUE
all_games7700;Dragon Star Varnir; PlayStation 4;;June 11, 2019;;;75.0;7.1;;Fight enemies midair in a unique, vertically-oriented battle system. Strategically position your party at different tiers to attack and disable the enemy’s skills, one level at a time. Perform enough attacks to unleash the dragon within, transforming each character to unlock devastating skills and newfound strength during battle. Weaken an enemy dragon to devour its element! When the element is pierced into a character, they can absorb that dragon’s skill tree. But at what cost…?;;;PS4_id_7836;Concrete Genie;PS4;Sony Interactive Entertainment;2019-10-09;;Action-Adventure;;;PixelOpus;;;;FLASE
all_games7498;Killing Floor 2; PlayStation 4;;November 16, 2016;;;75.0;7.1;;"In KILLING FLOOR 2 players descend into continental Europe where the outbreak caused by Horzine Biotech’s failed experiment has quickly spread and gained unstoppable momentum, essentially paralyzing the European Union— Just one month after the events in the original KILLING FLOOR, the specimen clones are everywhere and civilization is in disarray; communications have failed, governments have collapsed, and military forces have been systematically eradicated. The people of Europe know survival and self-preservation too well and lucky survivors have gone into hiding.";;;PS4_id_6989;Killing Floor 2;PS4;Tripwire Interactive,Koch Media;2016-11-18;;Action Horror,First Person Shooter;;;Tripwire Interactive;;;;FLASE
all_games9289;Heroland; PlayStation 4;;December 3, 2019;;;73.0;0.0;;You’re invited to a magical theme park where anyone can be a hero — except for you. You just work there! Conjured from your 16-bit dreams by the legends of Japanese RPGs, this whimsical tale of princes and part-timers guarantees excitement that cannot be forgotten.;;;PS4_id_6638;Heroland;PS4;XSEED Games;2020-01-31;;Role Playing,Turn Based;;;FuRyu;;;;FLASE
all_games9486;Senko no Ronde 2; PlayStation 4;;September 7, 2017;;;72.0;0.0;;Senko no Ronde 2 is a unique mix of fighting game and bullet hell shooter in which players pilot powerful armed robots Rounders, and do battle in futuristic arenas.;;;PS4_id_4130;Senko no Ronde 2;PS4;Degica Games;2017-09-06;;Fighting,Shoot 'em up;;;G.rev;;;;FLASE
all_games9598;PixelJunk Monsters 2; PlayStation 4;;May 18, 2018;;;72.0;7.0;;Get ready to experience the next generation of real-time tower defense gameplay in the PixelJunk Monsters series.;;;PS4_id_2903;PixelJunk Monsters 2;PS4;Spike Chunsoft;2018-05-25;;Strategy,Tower Defence;;;Q-Games;;;;FLASE
all_games9761;They Are Billions; PlayStation 4;;July 1, 2019;;;72.0;5.6;;They Are Billions is a Steampunk strategy game set on a post-apocalyptic planet. Build and defend colonies to survive against the billions of the infected that seek to annihilate the few remaining living humans. Can humanity survive after the zombie apocalypse?;;;PS4_id_1704;They Are Billions;PS4;BlitWorks;2019-07-09;;Strategy,Real Time;;;Numantian Games;;;;FLASE
all_games10236;Aragami; PlayStation 4;;October 10, 2016;;;71.0;7.1;;Aragami is a stealth game in which you play an undead assassin with the power to control the shadows. The darkness is your ally and the source of your strength, letting you teleport instantly to any other shadow, create new areas of darkness to stay invisible, materialize physical weapons and traps from thin air, or even summon a shadow dragon to decapitate your target.;;;PS4_id_3619;Aragami;PS4;Lince Works,Merge Games;2016-10-04;;Stealth;;;Lince Works;;;;FLASE
all_games10254;Farpoint; PlayStation 4;;May 16, 2017;;;71.0;8.1;;A PlayStation VR exclusive, Farpoint is an unnerving space adventure set on a hostile alien world. After crash landing you must fight to survive as you explore and uncover the planet’s secrets. Your only hope of escape is to constantly keep moving and discover the fate of your team. [Impulse Gear];;;PS4_id_5817;Farpoint;PS4;Sony Interactive Entertainment;2017-05-17;;First Person Shooter;;;Impulse Gear;;;;FLASE
all_games10360;Portal Knights; PlayStation 4;;May 23, 2017;;;71.0;6.3;;Leave the familiar world behind and step into the fantastic unknown with Portal Knights, a cooperative 3D sandbox action-RPG! Level up your character and craft powerful gear to defeat your enemies in real-time tactical combat. Explore dozens of randomly-generated islands and restore peace to a world torn apart by The Fracture. Begin your journey as a Warrior, Mage, or Ranger. Defeat formidable monsters and epic bosses while gathering resources to craft powerful weapons, armor and spells to help you on your adventure. Travel between worlds by collecting portal shards and rebuilding the ancient gateways. Meet 100+ memorable NPCs, recruit a pet, and experience dynamic events that happen in real-time! Build your perfect home and choose from dozens of materials and furnishings to make it your own! Craft your adventure. Forge your hero. Defeat the Portal Guardians. Become the ultimate Portal Knight!;;;PS4_id_2999;Portal Knights;PS4;505 Games;2017-06-05;;Action-RPG,Role Playing,Sandbox;;;keen games;;;;FLASE
all_games10383;Sublevel Zero Redux; PlayStation 4;;March 7, 2017;;;71.0;5.8;;Sublevel Zero is a six-degree-of-freedom roguelite shooter in a universe where reality is falling apart. Jump into the cockpit of a lone gunship searching for ancient technology and answers in a procedurally generated underground labyrinth. Fight through an intense single-player campaign which has been remastered and includes extra content and features.;;;PS4_id_4787;Sublevel Zero Redux;PS4;Merge Games;2017-03-03;;First Person Shooter;;;SIGTRAP Games;;;;FLASE
all_games10450;Samurai Warriors 4 Empires; PlayStation 4;;March 15, 2016;;;71.0;7.2;;This installment sees the return of the battle system from SAMURAI WARRIORS 2 Empires, in which bases are joined together by supply lines, necessitating a strategic pushing up of the front lines in order to dominate the field of battle. Additionally, you can now issue individual orders to customize the behavior of each officer. A maximum of eight officers can be taken into battle, and by deepening relationships between officers, the player can freely switch between these characters. The ability to switch between as many as eight playable characters allows for greater variety and strategic depth in battle. [Koei];;;PS4_id_4048;Samurai Warriors 4 Empires;PS4;KOEI TECMO;2016-03-11;;Hack & Slash;;;Omega Force;;;;FLASE
all_games10581;Knowledge is Power; PlayStation 4;;October 24, 2017;;;71.0;7.0;;Answer a massive variety of trivia questions to outsmart your opponents, with tactile challenges thrown in to keep you on your toes. This is all about speed and accuracy — are you up to the task?;;;PS4_id_7067;Knowledge is Power;PS4;Sony Interactive Entertainment;2017-11-22;;Educational & Trivia;;;Wish Studios;;;;FLASE
all_games10055;Deponia; PlayStation 4;;December 1, 2016;;;71.0;6.6;;Deponia is a fast-paced comedy of errors and one of the most unusual love stories in gaming history. The twist-filled story takes its off-beat characters all over trash planet Deponia, a unique game world in the style of Douglas Adams, Terry Pratchett and Matt Groening. From Kuvaq, an improvised village built inside a giant trash heap, to the swimming black market and the dark corners of the elevated planetary railways: Deponia is brought to life with detailed hand-painted backgrounds in widescreen format and top-quality cartoon animation;;;PS4_id_5315;Deponia;PS4;Daedalic Entertainment;2016-11-15;;Adventure,Point & Click;;;Daedalic Entertainment;;;;FLASE
all_games10135;Blackwood Crossing; PlayStation 4;;April 4, 2017;;;71.0;6.8;;Blackwood Crossing is a single-player, first person narrative game. An intriguing tale exploring the relationship of Scarlett and Finn, two siblings who are growing apart. When their paths cross with a ghostly figure, an ordinary train ride evolves into a haunting adventure of love, death and magic.;;;PS4_id_8413;Blackwood Crossing;PS4;Vision Games;2017-04-04;;Adventure,Point & Click;;;PaperSeven;;;;TRUE
all_games11288;West of Dead; PC;;June 18, 2020;;;69.0;6.1;;Descend into the grim and gritty world of Purgatory in this fast-paced cover shooter which combines the fluidity of twin-stick controls and tactical cover usage. Dodge behind cover as you try to outgun your enemies in the unknown procedurally generated hunting grounds.;;;PS4_id_152;West of Dead;PS4;Raw Fury;2020-08-05;;Roguelite;;;Upstream Arcade;;;;FLASE
all_games11265;Pure Farming 2018; PC;;March 13, 2018;;;69.0;6.8;;Go global and expand your farm across four continents! Use the latest technology and state-of-the-art licensed machines to manage all aspects of modern farming, from cultivating land and growing crops to breeding livestock and producing green energy. Travel between Europe, Asia, and both Americas to plant region-specific crops such as hemp, coffee beans, cherries, and olives using dedicated farming vehicles. Play the way you like best: three vastly different modes means this game is meant for you, no matter if you are a simulation veteran or an enthusiastic newcomer.;;;PS4_id_3144;Pure Farming 2018;PS4;Techland;2018-03-13;;Simulation;;;Ice Flames;;;;FLASE
all_games11092;Tropico 6; Switch;;November 6, 2020;;;70.0;2.3;;In times of political turmoil and social unrest, the people are calling out for a visionary leader, one who will steer the fate of their country with foresight and ingenuity. Will you answer that call?;;;PS4_id_1989;Tropico 6;PS4;Kalypso Media;2019-09-27;;Simulation,Management;;;Limbic Entertainment;;;;FLASE
all_games8;Red Dead Redemption 2; Xbox One;;October 26, 2018;;;97.0;8.0;;Developed by the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America’s unforgiving heartland. The game’s vast and atmospheric world also provides the foundation for a brand new online multiplayer experience. America, 1899. The end of the Wild West era has begun. After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang has to rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal fissures threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang that raised him. [Rockstar];;;PS4_id_727;Red Dead Redemption 2;PS4;Rockstar Games;2018-10-26;;Open World,First Person Shooter,Third Person Shooter;;;Rockstar North;;;;TRUE
all_games17;Red Dead Redemption 2; PlayStation 4;;October 26, 2018;;;97.0;8.5;;Developed by the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America’s unforgiving heartland. The game’s vast and atmospheric world also provides the foundation for a brand new online multiplayer experience. America, 1899. The end of the Wild West era has begun. After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang has to rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal fissures threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang that raised him. [Rockstar];;;PS4_id_727;Red Dead Redemption 2;PS4;Rockstar Games;2018-10-26;;Open World,First Person Shooter,Third Person Shooter;;;Rockstar North;;;;TRUE
